tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1,sprintcare,FALSE,Tue Oct 31 22:10:47 +0000 2017,@115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.,2,3
4,sprintcare,FALSE,Tue Oct 31 21:54:49 +0000 2017,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.,3,5
6,sprintcare,FALSE,Tue Oct 31 21:46:24 +0000 2017,"@115712 Can you please send us a private message, so that I can gain further details about your account?","5,7",8
11,sprintcare,FALSE,Tue Oct 31 22:10:35 +0000 2017,"@115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC",,12
15,sprintcare,FALSE,Tue Oct 31 20:03:31 +0000 2017,"@115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA",12,16
17,sprintcare,FALSE,Tue Oct 31 19:59:13 +0000 2017,"@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA",16,18
19,sprintcare,FALSE,Tue Oct 31 22:10:10 +0000 2017,@115715 Please send me a private message so that I can send you the link to access your account. -FR,,20
1285,sprintcare,FALSE,Tue Oct 31 22:29:15 +0000 2017,@115950 This is really concerning to us and we would love to help. Can you let us know what issues you are having with your connection. KB,"12,861,287",1288
1289,sprintcare,FALSE,Thu Nov 09 00:50:31 +0000 2017,@115950 Hi there! Service issues huh? Let us take a look into this for you. Shoot us a DM to assist further. -JA,1290,1287
1291,sprintcare,FALSE,Tue Oct 31 22:26:44 +0000 2017,@115712 Just click ‘Message’ at the top of your profile. We're always here and eager to assist.,1292,1293
1294,sprintcare,FALSE,Tue Oct 31 22:34:30 +0000 2017,@115712 Do you have a good contact number where you can be reached?,1295,1292
1296,sprintcare,FALSE,Tue Oct 31 22:26:36 +0000 2017,@115712 Do you have a good contact number where you can be reached? Please send through the private link.,,1293
1298,sprintcare,FALSE,Tue Oct 31 22:25:24 +0000 2017,@115951 Get started here: https://t.co/dYSbRQ3CL0 Conversation will be continued in your secured web browser. -FR,,1299
1300,sprintcare,FALSE,Tue Oct 31 22:24:30 +0000 2017,@115951 Hello please go to the link I will need additional information to work on getting phones unlocked. -FR,,1299
1302,sprintcare,FALSE,Tue Oct 31 22:21:37 +0000 2017,@115952 Hey we would love to further educate you on our amazing Sprint Flex Lease option. Send us a DM lets chat. -CW,,1303
1311,sprintcare,FALSE,Tue Oct 31 22:18:58 +0000 2017,"@115953 Hey Tayler, having service issues? Shoot us a DM for further assistance! -RW",,1312
2101,sprintcare,FALSE,Tue Oct 31 22:38:41 +0000 2017,@116169 Yes dm please.,,2102
2103,sprintcare,FALSE,Tue Oct 31 22:36:58 +0000 2017,"@116169 Hello, do you have an order number we can check for you?",2102,2104
2110,sprintcare,FALSE,Tue Oct 31 22:34:03 +0000 2017,@116171 Good afternoon. This is distressing. Send me a DM so I can see what happened.,,2111
2112,sprintcare,FALSE,Tue Oct 31 22:32:39 +0000 2017,"@116172 Hey :)! Let's look into this, DM us. -CS",2113,2114
2115,sprintcare,FALSE,Tue Oct 31 22:32:37 +0000 2017,@116173 Hey Tiffany! I'd like to work with you on your issues. Can you shoot us a DM for us to have a little chat? -ResolutionSup DC,,2116
2120,sprintcare,FALSE,Tue Oct 31 11:53:20 +0000 2017,@116173 This is concerning. What makes you feel this way? What seems to be the issue? We'll be happy to assist. -JD,2116,2121
3176,sprintcare,FALSE,Tue Oct 31 22:58:30 +0000 2017,"@116445 You’ve reached the right place, please shoot us a DM, in order for us to further assist you. -AA",3177,3178
3179,sprintcare,FALSE,Tue Oct 31 22:56:16 +0000 2017,@116446 What have you feeling this way? We would love to assist you.-DD,3180,3181
3182,sprintcare,FALSE,Tue Oct 31 22:59:47 +0000 2017,"@116446 We understand, but in order for us to further assist you, you need to inform us on your issue. We would hate to see you go-DD",3183,3180
3184,sprintcare,FALSE,Tue Oct 31 22:53:40 +0000 2017,@115712 Please DM your contact number and Team @116447 will reach out asap to get this resolved.,,3185
3187,sprintcare,FALSE,Tue Oct 31 22:45:12 +0000 2017,@115712 I understand how frustrating this is and I'm here to assist. I do apologize that I'm not showing the contact number or private message.,3186,3188
4307,sprintcare,FALSE,Tue Oct 31 23:04:33 +0000 2017,"@116716 Good day, please disregard the text message that you are receiving concerning your device being ready to pick. -KK",4308,4309
4310,sprintcare,FALSE,Tue Oct 31 23:01:18 +0000 2017,@116718 Great! Have you registered at https://t.co/drNtYldHij?,,4311
5522,sprintcare,FALSE,Tue Oct 31 23:16:16 +0000 2017,@117001 Hey! We would need to see what offers are available to you. Send us a DM so we can further assist you. -CD,,5523
6898,sprintcare,FALSE,Mon Oct 09 00:35:34 +0000 2017,@117178 This sounds concerning. Please DM us more details to review this situation more closely and verify where the issue is coming from. - JF,,6899
6900,sprintcare,FALSE,Mon Oct 09 00:21:40 +0000 2017,"@117178 Are you currently experiencing some type of issues with your service or bill? Please let us know what is going on, to give you a hand. - JF","690,168,996,902",6903
7741,sprintcare,FALSE,Tue Oct 31 23:37:34 +0000 2017,@116718 Thank you!,,4313
7742,sprintcare,FALSE,Tue Oct 31 23:36:56 +0000 2017,@117302 Hi there! Can you tell us the reason for the credit? Can you also join us in a DM so we can assist you? -KW,,7743
7744,sprintcare,FALSE,Tue Oct 31 23:34:08 +0000 2017,"@117303 Thank you for reaching out to us. Please send us a Direct Message, so that we can further assist you. -C.H",,7745
7746,sprintcare,FALSE,Tue Oct 31 23:31:02 +0000 2017,@117304 Please let us know if you're currently having service issue with us? We at Sprint would like to know so we can further assist. -JN,,7747
7748,sprintcare,FALSE,Tue Oct 31 23:30:19 +0000 2017,@117305 Oh…that’s so not cool…let me check it out for you! Shoot us a DM so that we can further assist you. -AH,,7749
7751,sprintcare,FALSE,Tue Oct 31 23:29:52 +0000 2017,"@117306 Can you please send us a DM, so that be can able to  further look into this issue pertaining your device being unlocked? -TC",7752,7753
8037,sprintcare,FALSE,Thu Nov 02 17:45:17 +0000 2017,@117395 Thanks for reaching out. What can I help with today? -SM,"80,398,040",8035
8041,sprintcare,FALSE,Thu Nov 02 18:19:48 +0000 2017,"@117395 Hey King, Thank you for the feedback. We would like to solve this now. Please send us a DM. It will be our honor to assist you. Ange L",,8039
8359,sprintcare,FALSE,Sun Nov 05 23:08:03 +0000 2017,"@117471 Good day Jessica, we don't want you to continue having problems. Please send us a Direct Message, so that we can further assist you. -KK",,8360
8836,sprintcare,FALSE,Tue Oct 31 23:56:27 +0000 2017,@117587 Looks great right.. And our CEO is cool too.,,8837
8838,sprintcare,FALSE,Tue Oct 31 23:45:50 +0000 2017,@117587 Hello there! Check out our promotions. Click on the link https://t.co/OLXF2ShjmN,8837,8839
8841,sprintcare,FALSE,Tue Oct 31 23:54:11 +0000 2017,@117588 @626 @115714 Could tell us which iPhone you have? -L.O,8842,8843
8844,sprintcare,FALSE,Wed Nov 01 00:01:22 +0000 2017,@117588 We would like to preform a device refresh from our end. -L.O,"88,458,846",8842
8847,sprintcare,FALSE,Wed Nov 01 00:05:26 +0000 2017,"@117588 We are going and preform the device refresh on all four devices, could you power off the devices and power them back on in 5 minutes. -L.O","8,848,884,988,508,850",8845
8853,sprintcare,FALSE,Tue Oct 31 23:53:12 +0000 2017,@117589 Go to https://t.co/giLERIJ9sA for details about our network management practices. -KA,,8854
8855,sprintcare,FALSE,Tue Oct 31 23:52:59 +0000 2017,"@117590 Not all order are shipped at the same time, however, they will be fulfilled. We will appreciate your patience. -JR",,8856
8857,sprintcare,FALSE,Tue Oct 31 23:38:35 +0000 2017,@117590 Once the device is launched that information will be updated. You can check when the shipping starts through https://t.co/O1mkYIdKu5 -JR,8856,8858
8859,sprintcare,FALSE,Tue Oct 31 17:11:41 +0000 2017,@117590 Thanks for reaching out. What questions do you have? -ES,8858,8860
8864,sprintcare,FALSE,Tue Oct 31 23:52:12 +0000 2017,@117592 We will like to take a look into this for you. Shoot us a DM to assist. -JA,8865,8866
8868,sprintcare,FALSE,Tue Oct 31 23:50:53 +0000 2017,"@117593 Hey Stephany, you would have reached out to us in regards to some service issues. 1/3 - Resolution SUP NN",,8869
8875,sprintcare,FALSE,Tue Oct 31 01:01:29 +0000 2017,@117593 How may we be of assistance to you? We are always happy to help.-DD,8869,8876
9020,sprintcare,FALSE,Wed Nov 22 11:21:54 +0000 2017,"@117605 Hi! Are you experiencing any sort of issue with your other services (ex.: phone calls and text)? Please, let us know more about this, sending us a DM. We'll be more than glad to assist you. -LR. https://t.co/rMApsV8PQY",,9021
9023,sprintcare,FALSE,Wed Nov 22 11:21:12 +0000 2017,"@117606 Hi! For how long have you been experiencing this? Are you receiving 3G somewhere near your domicile? Please, allow us to check your surrounding. Send us a DM, we'll be glad to assist you? -LR. https://t.co/rMApsV8PQY",,9024
9025,sprintcare,FALSE,Wed Nov 22 11:20:11 +0000 2017,"@117607 Hi! For how long have you been experiencing this? Are you receiving 3G somewhere near your domicile? Please, allow us to check your surrounding. Send us a DM, we'll be glad to assist you? -LR. https://t.co/rMApsV8PQY",,9026
9539,sprintcare,FALSE,Wed Nov 01 00:11:30 +0000 2017,@117730 Please give us the opportunity to investigate your issue and we will contact you with a resolution.,,9540
9542,sprintcare,FALSE,Tue Oct 31 23:56:32 +0000 2017,@117730 Your post brings great concerns to us. Can you please send us a DM with the details so we can get down to the bottom of this? -ES,9541,9543
9546,sprintcare,FALSE,Wed Nov 01 00:07:44 +0000 2017,"@117732 Hi! We would like to look into this. Please send us a Direct Message, so that we can further assist you. -KA",,9547
9548,sprintcare,FALSE,Wed Nov 01 00:01:28 +0000 2017,@117733 We apologize for the delay. Your assigned analyst will be contacting you shortly.,"954,995,509,551",9552
9553,sprintcare,FALSE,Tue Oct 31 21:12:16 +0000 2017,@117733 We regret to hear of your recent experience and we want to help. We will reach out to you momentarily to address your account concerns.,9552,9554
9555,sprintcare,FALSE,Tue Oct 31 02:23:54 +0000 2017,@117733 Hello Michael! We will send you a DM shortly.,"95,569,554",9557
10339,sprintcare,FALSE,Wed Nov 01 00:24:07 +0000 2017,@117730 Is there anything else we can assist you with today?,10340,10341
10342,sprintcare,FALSE,Wed Nov 01 00:32:37 +0000 2017,@117730 This issue is being investigated for you and we will contact you on Thursday with a resolution.,10343,10340
10344,sprintcare,FALSE,Wed Nov 01 00:49:47 +0000 2017,@117730 My pleasure. Is there anything else I can assist you with today?,10345,10343
10350,sprintcare,FALSE,Wed Nov 01 00:23:49 +0000 2017,"@117879 We would like to look into this for you. Please send us a Direct Message, so that we can further assist you. -JJ",10351,10352
10353,sprintcare,FALSE,Wed Nov 01 02:13:51 +0000 2017,@117880 Hi! The deal's available when you get it with Sprint Flex &amp; trade-in an eligible device. Info available here: https://t.co/7esColq99k . - FZ,,10351
10393,sprintcare,FALSE,Wed Nov 01 00:23:38 +0000 2017,@117881 Tell us why? We really want to know. -JN,,10394
9426,sprintcare,FALSE,Wed Nov 01 00:20:33 +0000 2017,@117688 Hello there! Please check our current promotions by clicking on the link https://t.co/OLXF2ShjmN,,9424
10396,sprintcare,FALSE,Wed Nov 01 00:18:41 +0000 2017,"@117882 That's not the feedback we like to read. What seems to be the issue? Let us know, we're here to help. -AP",,10397
10398,sprintcare,FALSE,Wed Nov 01 00:16:51 +0000 2017,"@117883 We'd be more than willing to take a look at the area for you if you can DM us a good intersection, J. :) -CDE",,10399
10400,sprintcare,FALSE,Wed Nov 01 00:15:19 +0000 2017,"@117884 Good evening, Heather - What seems to be the issue? Will you PM us with the specifics, please? -CDE",10401,10402
10403,sprintcare,FALSE,Wed Nov 01 00:15:08 +0000 2017,"@117885 This is concerning to us. Please, send us a DM with more details of your issue for us to assist you further. -DP",,10404
10869,sprintcare,FALSE,Wed Nov 01 00:43:18 +0000 2017,"@118025 Currently, the Note 8 does have Wi-Fi Calling. Send us a DM so we can provide you with the steps to activate it. -KW",,10870
10871,sprintcare,FALSE,Wed Nov 01 00:42:42 +0000 2017,@118026 We r sorry u feel this way. We strive for the satisfaction of all. How may we b of assistance?-DD,,10872
10875,sprintcare,FALSE,Wed Nov 01 00:34:36 +0000 2017,"@118029 Hi there, thanks for reaching out to us. Please send us a Direct Message, so that we can further assist you. Sprint cares. -RM",,10876
